-0.000000	-0.000001	-525.814006	-0.000082	-0.000127	-0.001063
-0.000000	-0.000001	-525.814006	-0.000082	-0.000127	-0.001063
-0.000000	-0.000001	-525.814006	-0.000082	-0.000127	-0.001063
-0.000002	-0.000002	-525.814027	-0.000234	-0.000005	-0.002434
-0.000002	-0.000002	-525.814027	-0.000234	-0.000005	-0.002434
-0.000005	-0.000001	-525.814063	-0.000232	0.000096	-0.003473
-0.000005	-0.000001	-525.814063	-0.000232	0.000096	-0.003473
-0.000009	0.000000	-525.814111	-0.000343	0.000111	-0.004552
-0.000009	0.000000	-525.814111	-0.000343	0.000111	-0.004552
-0.000009	0.000000	-525.814111	-0.000343	0.000111	-0.004552
-0.000014	0.000002	-525.814174	-0.000558	0.000247	-0.005895
-0.000014	0.000002	-525.814174	-0.000558	0.000247	-0.005895
-0.000020	0.000005	-525.814253	-0.000488	0.000273	-0.007325
-0.000020	0.000005	-525.814253	-0.000488	0.000273	-0.007325
-0.000026	0.000010	-525.814347	-0.000443	0.000418	-0.008302
-0.000026	0.000010	-525.814347	-0.000443	0.000418	-0.008302
-0.050945	0.064428	-525.814495	0.071829	-0.140124	-0.009966
-0.050945	0.064428	-525.814495	0.071829	-0.140124	-0.009966
-0.050098	0.061060	-525.814624	0.093130	-0.226765	-0.011410
-0.050098	0.061060	-525.814624	0.093130	-0.226765	-0.011410
-0.050098	0.061060	-525.814624	0.093130	-0.226765	-0.011410
-0.048204	0.055198	-525.814805	0.143874	-0.326283	-0.011361
-0.048204	0.055198	-525.814805	0.143874	-0.326283	-0.011361
-0.048204	0.055198	-525.814805	0.143874	-0.326283	-0.011361
-0.046385	0.051103	-525.814919	0.159342	-0.356181	-0.007671
-0.046385	0.051103	-525.814919	0.159342	-0.356181	-0.007671
-0.043668	0.045086	-525.815005	0.180251	-0.395915	-0.003036
-0.043668	0.045086	-525.815005	0.180251	-0.395915	-0.003036
-0.041413	0.040157	-525.815022	0.195638	-0.425687	0.000180
-0.041413	0.040157	-525.815022	0.195638	-0.425687	0.000180
-0.038110	0.033013	-525.814981	0.216330	-0.465378	0.004882
-0.038110	0.033013	-525.814981	0.216330	-0.465378	0.004882
-0.038110	0.033013	-525.814981	0.216330	-0.465378	0.004882
-0.035430	0.027267	-525.814900	0.231610	-0.495132	0.008773
