14186441	307464932	1039287414	526475	0.306	1.644	2.545	0.008	-0.028	0.021
14382475	307464928	1039287419	526399	0.325	1.626	2.516	-0.025	0.005	0.092
14586513	307464925	1039287424	526355	0.293	1.608	2.489	0.003	-0.036	-0.070
14787417	307464922	1039287428	526311	0.320	1.592	2.463	0.031	-0.022	-0.090
14988940	307464919	1039287434	526273	0.309	1.576	2.438	-0.005	0.085	-0.084
15187993	307464917	1039287437	526209	0.327	1.561	2.418	0.024	-0.019	-0.109
15388128	307464915	1039287440	526162	0.332	1.547	2.399	-0.013	0.040	-0.070
15588417	307464913	1039287443	526115	0.337	1.534	2.380	0.005	0.007	-0.083
15788036	307464910	1039287447	526085	0.283	1.520	2.359	0.008	-0.024	-0.012
15987217	307464907	1039287451	526062	0.300	1.506	2.338	-0.062	0.033	-0.068
16187332	307464904	1039287454	526027	0.297	1.494	2.318	-0.032	-0.003	-0.081
16387370	307464902	1039287456	525971	0.324	1.482	2.302	0.003	-0.010	-0.079
16586121	307464900	1039287459	525918	0.333	1.470	2.286	-0.005	0.045	-0.118
16786088	307464898	1039287463	525914	0.321	1.458	2.268	0.027	0.024	-0.071
16982084	307464896	1039287467	525887	0.323	1.447	2.252	0.028	-0.012	-0.078
17185093	307464895	1039287469	525869	0.268	1.436	2.235	-0.002	-0.014	-0.018
17384101	307464892	1039287471	525829	0.295	1.426	2.221	-0.029	0.004	-0.047
17584088	307464891	1039287473	525818	0.322	1.416	2.207	0.017	0.014	-0.037
17783411	307464889	1039287476	525814	0.307	1.406	2.192	-0.024	0.011	-0.049
17983446	307464887	1039287479	525769	0.324	1.396	2.176	0.004	0.031	-0.105
18184191	307464886	1039287481	525737	0.324	1.387	2.164	-0.005	0.018	-0.020
18385099	307464884	1039287482	525712	0.296	1.379	2.154	0.005	-0.032	0.013
18584089	307464884	1039287483	525648	0.274	1.371	2.143	0.078	0.035	-0.041
18786136	307464883	1039287488	525562	0.328	1.363	2.129	0.026	-0.001	-0.098
18986088	307464880	1039287493	525425	0.310	1.355	2.120	-0.068	0.013	0.041
19186086	307464877	1039287494	525349	0.339	1.348	2.114	0.048	-0.040	0.089
19386156	307464876	1039287496	525298	0.350	1.342	2.109	0.028	-0.056	0.129
19583372	307464874	1039287499	525266	0.294	1.334	2.100	-0.031	-0.014	0.023
19787469	307464871	1039287502	525229	0.247	1.326	2.089	0.004	-0.173	-0.020
19986090	307464866	1039287502	525226	0.254	1.318	2.081	-0.259	-0.094	0.008
20189185	307464860	1039287507	525246	0.213	1.308	2.070	-0.056	-0.038	-0.013
20388174	307464856	1039287513	525223	0.274	1.300	2.063	0.004	0.057	0.051
20588384	307464852	1039287520	525167	0.242	1.291	2.055	-0.057	-0.164	0.019
20784345	307464847	1039287527	525128	0.294	1.283	2.047	-0.068	-0.004	0.035
20985087	307464846	1039287529	525155	0.298	1.274	2.038	0.055	0.040	-0.052
21185105	307464848	1039287534	525192	0.213	1.265	2.031	0.220	0.190	-0.009
21385086	307464853	1039287541	525162	0.227	1.258	2.022	0.298	0.177	0.027
21585087	307464856	1039287550	525129	0.203	1.252	2.018	0.243	0.328	0.135
21785250	307464857	1039287559	525088	0.273	1.247	2.014	0.078	0.132	-0.029
21985113	307464856	1039287568	524975	0.359	1.242	2.011	-0.013	0.017	0.032
22182090	307464853	1039287573	524850	0.241	1.238	2.009	-0.059	-0.021	-0.019
22385238	307464850	1039287579	524737	0.222	1.234	2.007	-0.001	-0.115	-0.025
22588778	307464846	1039287585	524642	0.197	1.230	2.006	-0.085	-0.149	-0.035
22790083	307464842	1039287590	524594	0.321	1.227	2.006	-0.047	0.001	-0.043
22988321	307464839	1039287596	524565	0.254	1.223	2.005	0.009	-0.066	-0.010
23186085	307464835	1039287600	524517	0.252	1.220	2.004	-0.090	-0.089	-0.116
23386085	307464830	1039287606	524443	0.321	1.217	2.002	-0.022	-0.146	0.077
23588332	307464825	1039287610	524363	0.240	1.213	2.001	-0.018	-0.083	-0.073
23788664	307464821	1039287615	524291	0.257	1.210	2.001	-0.028	-0.050	0.014
23990084	307464817	1039287621	524205	0.307	1.207	1.998	-0.084	0.121	0.045
24189213	307464813	1039287626	524183	0.196	1.203	1.988	-0.056	-0.116	-0.006
24388749	307464807	1039287628	524183	0.294	1.200	1.982	-0.241	-0.084	-0.001
24587096	307464799	1039287629	524139	0.347	1.198	1.976	-0.412	0.058	0.044
24782094	307464789	1039287630	524138	0.295	1.195	1.971	-0.469	-0.118	0.057
24988561	307464772	1039287632	524134	0.330	1.193	1.967	-0.963	-0.111	0.118
25189234	307464750	1039287634	524089	0.311	1.190	1.962	-1.148	-0.097	-0.060
25387213	307464730	1039287621	524055	0.324	1.187	1.965	-1.339	-0.184	0.004
25589844	307464701	1039287621	524070	0.326	1.186	1.967	-1.450	-0.409	0.086
25787147	307464671	1039287620	523993	0.327	1.186	1.969	-1.515	-0.149	0.011
25987111	307464640	1039287621	523948	0.385	1.185	1.970	-1.567	-0.300	0.093
26189607	307464608	1039287621	523936	0.401	1.186	1.971	-1.710	-0.257	0.027
26390088	307464572	1039287623	523859	0.378	1.185	1.971	-2.023	0.108	0.072
26589234	307464531	1039287630	523775	0.375	1.184	1.970	-2.312	0.239	0.112
26789951	307464490	1039287642	523779	0.361	1.183	1.970	-2.031	0.394	0.031
26985158	307464450	1039287652	523718	0.369	1.183	1.970	-2.148	0.166	0.144
27187133	307464407	1039287659	523662	0.366	1.183	1.972	-2.269	0.299	0.036
27381216	307464364	1039287667	523635	0.360	1.183	1.976	-2.331	0.160	0.138
27589043	307464319	1039287675	523656	0.309	1.182	1.977	-2.305	0.195	0.180
27787169	307464274	1039287682	523606	0.305	1.181	1.978	-2.433	0.141	0.120
27989722	307464226	1039287687	523555	0.310	1.180	1.984	-2.545	0.109	0.244
28189218	307464177	1039287695	523546	0.300	1.178	1.985	-2.602	0.347	0.135
28387157	307464127	1039287705	523510	0.348	1.177	1.990	-2.620	0.364	0.094
28586089	307464075	1039287712	523495	0.340	1.178	1.994	-2.802	0.028	0.175
28786128	307464022	1039287716	523621	0.314	1.177	1.993	-2.739	0.067	0.143
28986096	307463971	1039287723	523603	0.305	1.175	1.992	-2.636	0.336	-0.012
29186098	307463919	1039287733	523614	0.302	1.174	1.991	-2.753	0.314	0.094
29387127	307463867	1039287745	523574	0.329	1.173	1.992	-2.812	0.589	0.031
29587089	307463815	1039287761	523625	0.331	1.172	1.989	-2.575	0.449	-0.020
29785184	307463765	1039287773	523621	0.357	1.172	1.990	-2.791	0.408	0.121
29983127	307463710	1039287786	523650	0.336	1.172	1.990	-2.925	0.458	0.035
30189185	307463655	1039287797	523634	0.322	1.171	1.988	-2.954	0.372	0.008
30387173	307463602	1039287802	523623	0.320	1.170	1.988	-2.839	0.114	0.019
30589954	307463549	1039287808	523641	0.325	1.170	1.992	-2.871	0.225	0.037
30788232	307463495	1039287818	523596	0.315	1.169	1.994	-2.977	0.382	-0.061
30988091	307463440	1039287827	523605	0.313	1.168	1.997	-2.944	0.326	0.002
31189855	307463386	1039287836	523602	0.312	1.167	2.001	-3.031	0.354	-0.024
31388085	307463331	1039287847	523542	0.316	1.166	2.002	-2.950	0.408	-0.039
31588086	307463276	1039287859	523552	0.318	1.165	2.004	-3.001	0.462	-0.061
31789933	307463220	1039287870	523571	0.314	1.164	2.005	-3.030	0.319	0.061
31987091	307463164	1039287879	523627	0.306	1.163	2.004	-2.980	0.184	-0.018
32188131	307463107	1039287883	523616	0.314	1.163	2.004	-3.237	0.093	0.094
32389989	307463047	1039287888	523659	0.317	1.163	2.009	-3.242	0.170	-0.063
32581906	307462988	1039287894	523726	0.313	1.162	2.003	-3.101	0.177	-0.068
32787166	307462931	1039287903	523743	0.322	1.160	2.001	-3.189	0.489	-0.077
32987086	307462871	1039287918	523774	0.322	1.159	1.994	-3.191	0.572	-0.071
33188140	307462813	1039287930	523796	0.317	1.157	1.988	-3.166	0.581	-0.088
33388087	307462755	1039287944	523844	0.314	1.155	1.981	-3.163	0.539	-0.022
33586093	307462696	1039287956	523888	0.316	1.154	1.975	-3.251	0.444	-0.049
33788088	307462638	1039287968	523945	0.322	1.153	1.974	-3.051	0.459	-0.081
33987174	307462578	1039287980	524011	0.316	1.152	1.976	-3.403	0.456	-0.197
34187151	307462518	1039287990	524024	0.314	1.151	1.978	-3.186	0.367	-0.091
34387089	307462458	1039287999	524072	0.365	1.152	1.981	-3.332	0.284	-0.078
34588133	307462397	1039288006	524071	0.328	1.152	1.983	-3.320	0.275	-0.056
34787191	307462338	1039288013	524051	0.325	1.152	1.983	-3.151	0.202	-0.088
34984090	307462278	1039288021	524038	0.331	1.152	1.988	-3.429	0.400	-0.087
35183150	307462216	1039288030	524053	0.325	1.153	1.990	-3.349	0.332	-0.019
35387190	307462155	1039288039	524021	0.310	1.152	1.993	-3.343	0.484	-0.003
35588092	307462094	1039288049	524093	0.311	1.151	1.992	-3.259	0.272	0.041
35788121	307462034	1039288060	524078	0.318	1.151	1.991	-3.244	0.640	-0.019
35990727	307461974	1039288072	524076	0.313	1.150	1.990	-3.318	0.437	0.117
36188092	307461913	1039288084	524009	0.309	1.149	1.994	-3.320	0.578	0.123
36389088	307461851	1039288095	523996	0.314	1.148	1.993	-3.364	0.499	0.075
36589115	307461788	1039288107	523995	0.353	1.148	1.998	-3.297	0.475	0.127
36787493	307461725	1039288118	524050	0.325	1.148	1.999	-3.419	0.429	0.167
36988088	307461663	1039288128	524112	0.318	1.147	1.993	-3.267	0.223	-0.011
37190710	307461602	1039288133	524046	0.319	1.146	1.987	-3.303	0.339	0.046
37389090	307461539	1039288142	524065	0.349	1.146	1.991	-3.423	0.321	0.080
37588091	307461477	1039288150	524040	0.341	1.147	1.995	-3.229	0.431	0.114
37784094	307461416	1039288162	524028	0.343	1.147	2.000	-3.328	0.428	0.055
37989160	307461355	1039288174	523983	0.318	1.148	2.005	-3.349	0.500	0.029
38185093	307461291	1039288187	523981	0.318	1.148	2.009	-3.414	0.501	0.074
38388135	307461228	1039288199	523917	0.321	1.147	2.004	-3.389	0.570	0.163
38587284	307461164	1039288212	523985	0.321	1.146	2.001	-3.390	0.469	0.064
38787189	307461101	1039288227	523932	0.324	1.146	2.001	-3.336	0.662	0.098
38986771	307461041	1039288242	523864	0.314	1.145	1.998	-3.208	0.634	0.120
39187766	307460981	1039288256	523790	0.326	1.144	1.996	-3.194	0.725	0.160
39387154	307460921	1039288266	523961	0.326	1.143	1.994	-3.123	0.402	0.290
39587198	307460860	1039288275	524051	0.332	1.143	1.993	-3.310	0.668	0.218
39788573	307460798	1039288290	524064	0.325	1.143	1.998	-3.238	0.620	0.096
39987531	307460737	1039288304	524082	0.323	1.143	2.002	-3.249	0.588	0.054
40189119	307460673	1039288317	524228	0.314	1.143	2.003	-3.448	0.310	-0.011
40385089	307460610	1039288327	524211	0.323	1.142	2.008	-3.376	0.473	-0.106
40586089	307460547	1039288337	524142	0.328	1.142	2.009	-3.399	0.365	-0.020
40785101	307460485	1039288344	524129	0.330	1.142	2.011	-3.291	0.298	-0.018
40985093	307460422	1039288352	524235	0.326	1.142	2.007	-3.365	0.279	-0.022
41187573	307460359	1039288359	524315	0.321	1.141	2.003	-3.279	0.255	-0.051
41385089	307460297	1039288368	524397	0.314	1.140	2.000	-3.341	0.504	-0.134
41586114	307460235	1039288378	524470	0.320	1.139	1.997	-3.314	0.525	-0.171
41786091	307460175	1039288389	524498	0.396	1.140	1.999	-3.146	0.336	-0.075
41988086	307460118	1039288400	524543	0.401	1.142	1.997	-3.002	0.661	-0.158
42188164	307460059	1039288413	524670	0.319	1.142	1.992	-3.329	0.600	-0.175
42388098	307459997	1039288426	524754	0.322	1.141	1.996	-3.286	0.585	-0.114
42587488	307459938	1039288439	524844	0.393	1.142	1.996	-3.062	0.562	-0.131
42790185	307459879	1039288450	524952	0.404	1.144	1.996	-3.287	0.374	-0.109
42986123	307459814	1039288461	524976	0.367	1.146	2.003	-3.626	0.600	-0.108
43189150	307459751	1039288475	524932	0.341	1.147	2.004	-3.235	0.635	-0.097
43388128	307459690	1039288486	524905	0.335	1.147	2.010	-3.418	0.479	-0.045
43588329	307459626	1039288497	524920	0.325	1.148	2.018	-3.437	0.452	-0.021
43788411	307459562	1039288505	524933	0.323	1.149	2.023	-3.384	0.336	-0.002
43987093	307459498	1039288509	525005	0.324	1.149	2.029	-3.404	0.402	0.087
44189126	307459435	1039288519	525013	0.315	1.149	2.033	-3.375	0.532	0.028
44389123	307459372	1039288530	524977	0.316	1.148	2.036	-3.331	0.559	0.114
44589154	307459309	1039288543	525010	0.314	1.147	2.034	-3.333	0.617	0.073
44790085	307459246	1039288557	524948	0.314	1.146	2.031	-3.399	0.714	0.105
44989127	307459184	1039288572	524919	0.323	1.146	2.031	-3.283	0.594	0.074
45190140	307459123	1039288587	524850	0.303	1.145	2.027	-3.294	0.717	0.137
45389160	307459059	1039288604	524749	0.305	1.143	2.027	-3.483	0.779	0.078
45584949	307458994	1039288622	524794	0.304	1.140	2.024	-3.443	0.772	0.044
45786087	307458930	1039288641	524762	0.329	1.139	2.020	-3.396	0.860	0.120
45988245	307458865	1039288660	524735	0.333	1.139	2.025	-3.553	0.788	0.151
46188338	307458800	1039288678	524735	0.334	1.140	2.027	-3.416	0.857	0.245
46388923	307458736	1039288697	524715	0.333	1.140	2.032	-3.545	0.787	-0.016
46586107	307458669	1039288713	524762	0.327	1.140	2.032	-3.624	0.686	0.079
46787202	307458601	1039288728	524837	0.326	1.140	2.029	-3.648	0.627	0.058
46990092	307458533	1039288741	524920	0.321	1.139	2.028	-3.528	0.538	-0.064
47189134	307458466	1039288754	524900	0.300	1.138	2.024	-3.676	0.659	0.009
47389183	307458397	1039288768	524899	0.324	1.137	2.022	-3.704	0.598	0.034
47589550	307458330	1039288781	524905	0.349	1.137	2.023	-3.563	0.486	0.044
47791125	307458263	1039288793	524944	0.359	1.138	2.028	-3.575	0.520	-0.091
47991084	307458195	1039288806	524945	0.323	1.139	2.032	-3.735	0.658	-0.094
48185196	307458128	1039288820	524932	0.324	1.139	2.036	-3.581	0.536	0.032
48391131	307458064	1039288834	524900	0.325	1.139	2.038	-3.440	0.647	-0.117
48587238	307457999	1039288850	524864	0.321	1.138	2.033	-3.584	0.774	-0.062
48789423	307457933	1039288867	524876	0.292	1.136	2.034	-3.584	0.798	-0.091
48993859	307457867	1039288882	524864	0.300	1.134	2.031	-3.532	0.709	-0.073
49190114	307457801	1039288897	524910	0.294	1.132	2.025	-3.472	0.601	-0.126
49387127	307457738	1039288914	524846	0.331	1.131	2.021	-3.501	0.872	0.021
49589062	307457673	1039288932	524876	0.307	1.129	2.012	-3.491	0.827	0.023
49788085	307457608	1039288954	524958	0.309	1.127	2.000	-3.454	0.844	-0.136
49988087	307457544	1039288975	524985	0.319	1.125	1.998	-3.418	0.955	-0.091
50189935	307457482	1039288997	525002	0.324	1.124	1.996	-3.323	1.079	-0.183
50388090	307457419	1039289023	525037	0.328	1.124	1.998	-3.418	1.268	-0.172
