14117504	-0.000464	0.001892	0.002082	0.004001	0.429249	1.032096	-9.841964	0.004001
14121505	-0.000468	0.002309	0.001752	0.004001	0.423015	1.026741	-9.848386	0.004001
14125504	-0.001007	0.002289	0.001014	0.003999	0.435175	1.037331	-9.823709	0.003999
14133504	-0.000468	0.003052	0.001732	0.004000	0.412670	1.033816	-9.831426	0.004000
14137504	-0.001218	0.002820	0.000788	0.004000	0.423265	1.007562	-9.820835	0.004000
14141537	-0.000050	0.002811	0.000669	0.004033	0.411965	1.020202	-9.809233	0.004033
14149504	-0.001092	0.002656	0.002707	0.004001	0.430412	1.035895	-9.823224	0.004001
14153504	-0.001526	0.003066	0.002277	0.004000	0.425564	1.026233	-9.831827	0.004000
14157504	-0.000253	0.003700	0.002031	0.004000	0.427333	1.034434	-9.842953	0.004000
14161542	-0.001214	0.003908	0.001717	0.004038	0.420130	1.033376	-9.848055	0.004038
14165504	-0.001015	0.005146	0.000185	0.003962	0.417098	1.033928	-9.860860	0.003962
14169504	0.000051	0.003774	0.000748	0.004000	0.429352	1.021356	-9.872396	0.004000
14177504	-0.000478	0.004414	0.000844	0.004000	0.423214	1.057956	-9.870038	0.004000
14181504	-0.000474	0.003252	0.001195	0.004000	0.441691	1.040303	-9.837144	0.004000
14185503	-0.001222	0.002811	0.000682	0.003999	0.433951	1.036188	-9.849652	0.003999
14189504	-0.002502	0.003557	0.000676	0.004001	0.426619	1.044577	-9.819128	0.004001
14193504	-0.001854	0.003690	0.001624	0.004000	0.437325	1.042902	-9.846105	0.004000
14201504	0.000590	0.003252	0.001176	0.004000	0.445205	1.028076	-9.813806	0.004000
14205504	-0.000357	0.003367	0.001509	0.004000	0.453682	1.035373	-9.788472	0.004000
14209504	0.001015	0.003358	0.001173	0.004000	0.440590	1.029629	-9.809840	0.004000
14213504	0.000484	0.003353	0.000969	0.004000	0.427889	1.021362	-9.836414	0.004000
14221503	0.000585	0.003353	0.000968	0.003999	0.415552	1.066879	-9.872526	0.003999
